client_id	path	sentence	up_votes	down_votes	age	gender	accent
01a44ed5d1339a03c5f65cb467a609e63b71ed24c761cabf3bba66be59c92418e0313dce376ec5e11d6b209f9314ffd3bd8ff629e559dddb9911bc4cb13f9b9f	common_voice_en_17779714.mp3	Two-wave sources are perfectly coherent if they have a constant phase difference and the same frequency.	2	0	thirties	male	canada
032083e1375f0a0fc284ab394bd184aa293b8fdb6af5a6f73a0fac36acad718dd7a42c682e3b8b323d901afbd749cfc261877ca94ab3a7df1e68ef8f92124e75	common_voice_en_18275190.mp3	This fiscal year.	2	0	twenties	male	NA
051427aae19a8edb1ecc7e438a117f63fc3358f1fd9d5ba9e35636bf8dfff88332469860d6c192fb09d67eaf614ca6916b0405adb4becfce54c8f274da1e999c	common_voice_en_125399.mp3	Thai dancers happily going through their steps in unison.	2	1	seventies	female	england
059a80ab35ec3e57e6746df0ffcb4cdcea4871d4819cb3796e1d12908c30265c208797a64e62c60509eeece846b775248462b6d0b57c8d7ae74f056fdacdfd6d	common_voice_en_18274221.mp3	It is entirely your prerogative.	2	1	twenties	male	us
06546553aed17027b4e638d4afb56f39b216026088cf4048ce8dc0b81e4dc211f5b5edbd1d78c5c63394d844db1f0a361ca8a9ed79f2fb2d8dd4a50fedea7fa4	common_voice_en_17147389.mp3	Women form less than half of the group.	2	0	twenties	male	us
07df65e4465dbe1499668503f5f4446042b86e0403ede1defe56196a7cd4ba6893af79881a15b481384338c24e5e9dc5f3ab0f1ab8e9c5416cc1ecd6f910c58b	common_voice_en_534327.mp3	Plastic surgery has become more popular.	2	0	fourties	female	us
08d5df578ef5c27af11465120a91b016ad09e4d6f9bfb01860f65c16b125349755b03a995e9cbe07e1cf5bfdd69da45249368a2b4653350591b2f24153b12d41	common_voice_en_459460.mp3	What game do you want to play?	2	0	twenties	male	NA
093580a6c59fa73c86513a8a98ce889f6418871e62b673ee1b42f771bb00bfa4a3113b7132c114db2e9508e82470ff1c2b24596287d2b03b70d010163300006f	common_voice_en_18506358.mp3	Are the main galleries any good?	2	0	twenties	male	indian
0cc15679f23808650907f621dcc48e480516aebf6bfc0aee186de287f2ce87581ca9380529569f95fb46f885ee817d3902bb70a8f1a96b86415a59e76c356b48	common_voice_en_18171738.mp3	What do you know about him?	2	0	teens	female	us
10197cf5e413a3230eb37c82247414f132f455a7747d9166f98eda1bfecb47b3e3aa7f8ee4d70a1f616966185340ac5e50655411864e87a14cb89bfbc567ff02	common_voice_en_18265624.mp3	"You can't seriously expect me to go through with this?"	2	0	twenties	male	NA
111628a2fe569963f61299f2f01ff4434de9c8701e6066644e40cf6abf770df80334f8a79f49d70aa62252c5a1b19968c87a1ed99703c9a569b9703ce4ea3dbe	common_voice_en_18515602.mp3	Well, Jeeves got off a good one the other day.	2	0	thirties	male	us
13cfeddd0a810646051e5b8da31c1710698b59b5a68ab84d12ea67c46a8aaa3d5479f295902ac1c71cde4d487ef0f96005afd07118eb55a89e6e1666b3163dee	common_voice_en_18520452.mp3	Somebody had written up a list of number plates on the noticeboard	2	0	seventies	male	NA
15763cc5091c6704e59a0d2b1148224f15fa62db8634651cb820c2305eb570229a24ae45613a17d8e7b03611ce8b967c2e6aafc57d136e35d10970096d33c1ce	common_voice_en_18319602.mp3	I came for information more out of curiosity than anything else.	2	0	twenties	male	NA
15f1e0c06a2feafb8bf5a926df059a3c371de2e4726e9fb86129aa23b577c8e79ad776893b8b6f8693a90d1f25c9828fd252b4b0124acf16dfd6c8d6d5e44716	common_voice_en_17492946.mp3	Real schools, secondary schools giving a general practical education.	2	0	fourties	male	hongkong
17545ad41a40855481cdd58b8cad830dd499b0c8749c6e50bd059312490cb481f5f0d23dd218ce6512e8464f8a2c5887abc32f002f20ae86fc4b5c8029583cfe	common_voice_en_17286287.mp3	"Oh, that's too bad!"	2	0	twenties	male	indian
175669c77db7a3435d1fbce206105a989f46696cbea48ba38577795d66c3aa615b34eaade1bfd8532d86dd4fdf9e699e91a183cbaf4e150a928a0d9b112b1c3b	common_voice_en_18579362.mp3	So I would be the next to go.	2	0	twenties	male	NA
1904bb73c8637df5ff6b0ebd6f2cbc701ce84546bfe8a4770599930c39da2e3b8a578f7d26d17de44ce4bc8e1d0c3686ac7a3580c7feb445335d330b94a60566	common_voice_en_1100186.mp3	A friend to everybody is a friend to nobody.	2	0	sixties	male	african
19fb27444eddb6f5883355148f15d37fc957f474202fd3d2e91bf6a30de30636c35effc1de90ae6e509f75a1f66b6957661c51858a931cf60be17a4abfe82481	common_voice_en_18304023.mp3	Please consult your physician if you experience any side effects.	2	0	twenties	female	NA
1bf4a090eab7b0804aabd56752e466fccda76a6e1d7b3815a9de24db9464492624054b5e5b980778559d897a2a7fe9bb5a112db62be9506e8304d0f603384e9a	common_voice_en_1272597.mp3	A group of people, one of them with a guitar, were sitting by the campfire and singing songs.	2	0	twenties	male	indian
1d35648efbb846e5202d74ab30e082a49c167a5a3e58c0849209cd50aa384c06487cf4d91cc8849c4a8753827c1819e28fd7b2c22da62a7d204eb29ea8f7178b	common_voice_en_17442655.mp3	Please, be humble.	2	0	twenties	female	NA
23c8b06952c735c2842b5cd4a3677c61ea78a52118e84b60c760402ee82e326c2b0302c536bfa6dcf73a2cbf7b7f6a95f3ec63887011eef79597841b65c013e7	common_voice_en_18521626.mp3	"It's only his indigestion I find fault with."	2	0	thirties	male	us
24e2b9690c87a65fd2401ce4077f094b6e0ace46b2756759f36515684e98235a9d7854235f093247d0598fa721ad0f2dd53951132215c2e0908b6b5269542b78	common_voice_en_17285309.mp3	This small house consists of three bedrooms and a bathroom.	2	1	twenties	male	NA
259daaff503f8518b1f3295fc043a14027f5c9096b66c53b7678fd7186323ef6c355b4cc806ea459930bfc551f20afab3c329dcaa84e7a2c40af35f6cba4f65a	common_voice_en_18516104.mp3	"""Then do it,"" he said with a smug grin."	2	0	twenties	male	NA
25d6827a3b0bc98cd74940b83c5bb5e5a6f01399073f6a8413209265425c47fcd4cc0cbbf2ea25bd0f366769c7af59ef095881ed4f58a248c453d435bc72857b	common_voice_en_17300202.mp3	"""Never to come on a green twig;"" not to get on in the world."	2	0	fourties	male	NA
